"","name","position","rookie","jersey_number","birthdate","games_played","points","goals","assists","pp/g","shots","shooting_percentage","empty_net_goals"
"1","Brandon Coe","RW",0,21,"Dec  1, 2001",38,65,26,39,1.71,132,19.7,1
"2","Matvey Petrov","LW",0,22,"Mar 12, 2003",36,56,22,34,1.56,109,20.2,1
"3","Mitchell Russell","RW",0,27,"Mar  6, 2001",36,49,21,28,1.36,139,15.1,0
"4","Kyle Jackson","C",0,26,"Oct 17, 2002",23,37,15,22,1.61,53,28.3,1
"5","Ty Nelson","D",1,24,"Mar 30, 2004",38,30,6,24,0.79,121,5,0
"6","Kyle McDonald (total)","RW",0,19,"Feb  5, 2002",29,28,18,10,0.97,106,17,1
"7","Liam Arnsby","C",0,11,"Nov 20, 2003",32,18,8,10,0.56,42,19,1
"8","Dalyn Wakely","C",1,14,"Mar  5, 2004",38,15,10,5,0.39,58,17.2,0
"9","Tnias Mathurin","D",1,5,"Jan 15, 2004",30,11,2,9,0.37,31,6.5,0
"10","Owen Van Steensel","LW",1,16,"Aug  4, 2004",37,10,4,6,0.27,59,6.8,0
"11","Avery Winslow","D",0,8,"Aug 24, 2002",38,10,1,9,0.26,51,2,0
"12","Grayson Ladd (total)","D",0,9,"Mar  1, 2001",34,9,1,8,0.26,39,2.6,0
"13","Paul Christopoulos","D",0,4,"Mar 26, 2003",34,8,2,6,0.24,57,3.5,0
"14","Michael Podolioukh","C",1,10,"Nov 28, 2004",37,7,4,3,0.19,52,7.7,0
"15","Nikita Tarasevich (total)","RW",0,12,"Feb  9, 2003",28,7,2,5,0.25,42,4.8,0
"16","Nic Sima","RW",1,29,"Mar 31, 2005",34,5,1,4,0.15,38,2.6,0
"17","Owen Outwater","LW",1,18,"Jan  4, 2005",35,4,2,2,0.11,27,7.4,0
"18","Alexander Lukin","D",1,28,"Mar 27, 2004",36,2,1,1,0.06,23,4.3,0
"19","Cam Gauvreau","D",0,3,"Mar  8, 2003",22,1,1,0,0.05,10,10,0
"20","Dom DiVincentiis","G",1,31,"Mar  4, 2004",14,1,0,1,0.07,0,0,0
"21","Anthony Romani","RW",1,15,"Jul 12, 2005",28,1,0,1,0.04,15,0,0
"22","Joe Vrbetic","G",0,1,"Oct 24, 2002",28,1,0,1,0.04,0,0,0
"23","Rodion Tatarenko","LW",1,20,"Jun 23, 2004",7,0,0,0,0,5,0,0
"24","Christian Stevens","LW",0,17,"May 16, 2002",11,0,0,0,0,10,0,0
"25","Simon Rose","D",0,7,"Mar 23, 2001",32,10,2,8,0.31,37,5.4,1
