Name,Pos,Team,GP,G,A,PTS,Pts/G,PPG,PPA,GWG
Brandon Coe,RW,North Bay Battalion,38,26,39,65,1.71,7,16,6
Rory Kerins,C,Soo Greyhounds,37,23,40,63,1.7,8,14,7
Wyatt Johnston,C,Windsor Spitfires,34,21,42,63,1.85,3,15,2
Lucas Edmonds,RW,Kingston Frontenacs,33,19,41,60,1.82,5,16,2
Matvey Petrov,LW,North Bay Battalion,36,22,34,56,1.56,4,15,1
Luke Evangelista,RW,London Knights,28,26,28,54,1.93,5,12,3
Brennan Othmann,LW,Flint Firebirds,33,27,26,53,1.61,7,10,2
Emmett Sproule,LW,Peterborough Petes,35,16,34,50,1.43,2,18,2
Mitchell Russell,RW,North Bay Battalion,36,21,28,49,1.36,6,11,2
Luca DelBelBelluz,C,Mississauga Steelheads,37,20,28,48,1.3,6,7,6
James Hardie,LW,Mississauga Steelheads,37,26,21,47,1.27,8,5,5
Ty Tullio,RW,Oshawa Generals,34,17,30,47,1.38,7,15,4
Tye Kartye,LW,Soo Greyhounds,36,29,17,46,1.28,17,3,8
Tucker Robertson,C,Peterborough Petes,35,21,25,46,1.31,8,10,1
Logan Morrison,C,Hamilton Bulldogs,31,16,30,46,1.48,3,10,2
Jordan Frasca,C,Kingston Frontenacs,31,22,23,45,1.45,8,5,2
Tanner Dickinson,C,Soo Greyhounds,33,16,29,45,1.36,5,17,1
Martin Chromiak,LW,Kingston Frontenacs,31,18,26,44,1.42,6,11,2
Ty Voit,RW,Sarnia Sting,31,11,32,43,1.39,2,7,2
Sasha Pastujov,RW,Guelph Storm,31,22,19,41,1.32,6,11,3
Cole MacKay,RW,Soo Greyhounds,33,15,25,40,1.21,4,10,1
Will Cuylle,LW,Windsor Spitfires,29,24,15,39,1.34,8,8,5
Matthew Maggio,RW,Windsor Spitfires,33,18,21,39,1.18,4,6,2
Shane Wright,C,Kingston Frontenacs,29,15,24,39,1.34,6,10,2
George Diaco,LW,Hamilton Bulldogs,33,13,26,39,1.18,4,11,2
Nolan Burke,C,Sarnia Sting,32,22,16,38,1.19,2,4,1
Declan McDonnell (total),RW,Barrie Colts,35,14,24,38,1.09,3,5,4
Sean McGurn,C,London Knights,32,10,28,38,1.19,4,8,3
Danil Gushchin,LW,Niagara IceDogs,28,23,14,37,1.32,8,8,2
Kyle Jackson,C,North Bay Battalion,23,15,22,37,1.61,6,5,4
Riley Piercey,RW,Flint Firebirds,30,15,22,37,1.23,6,7,4
J.R. Avon,C,Peterborough Petes,32,15,22,37,1.16,7,14,1
Brandt Clarke,D,Barrie Colts,30,7,30,37,1.23,3,14,1
Avery Hayes,RW,Hamilton Bulldogs,33,20,16,36,1.09,3,4,1
Francesco Arcuri,LW,Kingston Frontenacs,31,17,19,36,1.16,2,7,5
Jan Mysak,C,Hamilton Bulldogs,29,18,17,35,1.21,6,5,0
Elias Cohen,C,Erie Otters,33,13,22,35,1.06,3,6,1
David Goyette,C,Sudbury Wolves,36,14,20,34,0.94,2,3,0
Ethan Cardwell,C,Barrie Colts,30,11,23,34,1.13,1,4,3
Deni Goure,C,Owen Sound Attack,33,15,18,33,1,7,6,2
Owen Beck,C,Mississauga Steelheads,37,15,18,33,0.89,2,5,1
Francesco Pinelli,C,Kitchener Rangers,30,13,20,33,1.1,2,9,1
